ID,xmlid,type,label,uri
261,p118_1,paragraph,"118,1",https://digitalzibaldone.net/paragraph/p118_1
262,p118_2,paragraph,"118,2",https://digitalzibaldone.net/paragraph/p118_2
263,p118_3,paragraph,"118,3",https://digitalzibaldone.net/paragraph/p118_3
264,p119_1,paragraph,"119,1",https://digitalzibaldone.net/paragraph/p119_1
265,p119_2,paragraph,"119,2",https://digitalzibaldone.net/paragraph/p119_2
266,p120_1,paragraph,"120,1",https://digitalzibaldone.net/paragraph/p120_1
267,p120_2,paragraph,"120,2",https://digitalzibaldone.net/paragraph/p120_2
268,p121_1,paragraph,"121,1",https://digitalzibaldone.net/paragraph/p121_1
269,p121_2,paragraph,"121,2",https://digitalzibaldone.net/paragraph/p121_2
270,p122_1,paragraph,"122,1",https://digitalzibaldone.net/paragraph/p122_1
271,p123_1,paragraph,"123,1",https://digitalzibaldone.net/paragraph/p123_1
272,p123_2,paragraph,"123,2",https://digitalzibaldone.net/paragraph/p123_2
273,p124_1,paragraph,"124,1",https://digitalzibaldone.net/paragraph/p124_1
274,p125_1,paragraph,"125,1",https://digitalzibaldone.net/paragraph/p125_1
275,p125_2,paragraph,"125,2",https://digitalzibaldone.net/paragraph/p125_2
276,p125_3,paragraph,"125,3",https://digitalzibaldone.net/paragraph/p125_3
277,p126_1,paragraph,"126,1",https://digitalzibaldone.net/paragraph/p126_1
278,p126_2,paragraph,"126,2",https://digitalzibaldone.net/paragraph/p126_2
279,p127_1,paragraph,"127,1",https://digitalzibaldone.net/paragraph/p127_1
280,p128_1,paragraph,"128,1",https://digitalzibaldone.net/paragraph/p128_1
281,p128_2,paragraph,"128,2",https://digitalzibaldone.net/paragraph/p128_2
282,p129_1,paragraph,"129,1",https://digitalzibaldone.net/paragraph/p129_1
283,p130_1,paragraph,"130,1",https://digitalzibaldone.net/paragraph/p130_1
284,p130_2,paragraph,"130,2",https://digitalzibaldone.net/paragraph/p130_2
285,p131_1,paragraph,"131,1",https://digitalzibaldone.net/paragraph/p131_1
286,p131_2,paragraph,"131,2",https://digitalzibaldone.net/paragraph/p131_2
287,p132_1,paragraph,"132,1",https://digitalzibaldone.net/paragraph/p132_1
288,p133_1,paragraph,"133,1",https://digitalzibaldone.net/paragraph/p133_1
289,p135_1,paragraph,"135,1",https://digitalzibaldone.net/paragraph/p135_1
290,p136_1,paragraph,"136,1",https://digitalzibaldone.net/paragraph/p136_1
291,p136_2,paragraph,"136,2",https://digitalzibaldone.net/paragraph/p136_2
292,p137_1,paragraph,"137,1",https://digitalzibaldone.net/paragraph/p137_1
293,p138_1,paragraph,"138,1",https://digitalzibaldone.net/paragraph/p138_1
294,p139_1,paragraph,"139,1",https://digitalzibaldone.net/paragraph/p139_1
295,p139_2,paragraph,"139,2",https://digitalzibaldone.net/paragraph/p139_2
296,p140_1,paragraph,"140,1",https://digitalzibaldone.net/paragraph/p140_1
297,p141_1,paragraph,"141,1",https://digitalzibaldone.net/paragraph/p141_1
298,p142_1,paragraph,"142,1",https://digitalzibaldone.net/paragraph/p142_1
299,p142_2,paragraph,"142,2",https://digitalzibaldone.net/paragraph/p142_2
300,p143_1,paragraph,"143,1",https://digitalzibaldone.net/paragraph/p143_1
301,p143_2,paragraph,"143,2",https://digitalzibaldone.net/paragraph/p143_2
302,p144_1,paragraph,"144,1",https://digitalzibaldone.net/paragraph/p144_1
303,p147_1,paragraph,"147,1",https://digitalzibaldone.net/paragraph/p147_1
304,p148_1,paragraph,"148,1",https://digitalzibaldone.net/paragraph/p148_1
305,p148_2,paragraph,"148,2",https://digitalzibaldone.net/paragraph/p148_2
306,p149_1,paragraph,"149,1",https://digitalzibaldone.net/paragraph/p149_1
307,p149_2,paragraph,"149,2",https://digitalzibaldone.net/paragraph/p149_2
308,p150_1,paragraph,"150,1",https://digitalzibaldone.net/paragraph/p150_1
